店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
Darts Bar A’s,050-5487-5983,,東京都,新宿区神楽坂,1-10,,https://captcha.gnavi.co.jp?destination=dartsbaras.gorp.jp/,TRUE
オステリア ポルコヴィーノ,050-5486-3509,,東京都,新宿区神楽坂,4-2,,https://captcha.gnavi.co.jp?destination=gcka304.gorp.jp/,TRUE
宮崎の恵みをワインと味わえるイタリアン Strada,03-6261-9229,,東京都,千代田区飯田橋,1-9-6,,https://captcha.gnavi.co.jp?destination=ghw2900.gorp.jp/,TRUE
Buona carne！（旧：zetto）,050-5486-4314,,東京都,新宿区神楽坂,3-2-1,,https://captcha.gnavi.co.jp?destination=buonacarne-kagurazaka.gorp.jp/,TRUE
アズーリ 神楽坂,050-5487-4438,,東京都,新宿区神楽坂,3-4,,https://captcha.gnavi.co.jp?destination=azzurri.gorp.jp/,TRUE
肉＆生ハム 隠れ家バル ボノボ,050-5486-8290,,東京都,千代田区富士見,2-2-11,,https://captcha.gnavi.co.jp?destination=bonobo-iidabashi.gorp.jp/,TRUE
ディプント 飯田橋,050-5485-5647,,東京都,千代田区富士見,2-6-12,,https://captcha.gnavi.co.jp?destination=g040708.gorp.jp/,TRUE
AGARIS,050-5486-0289,,東京都,新宿区神楽坂,4-3,,https://captcha.gnavi.co.jp?destination=b094002.gorp.jp/,TRUE
少人数貸切×湘南パスタバルランタナ食堂 飯田橋,050-5485-4823,,東京都,新宿区神楽河岸,1-1,,https://captcha.gnavi.co.jp?destination=g052842.gorp.jp/,TRUE
オステリア ラストリカート,050-5486-7185,,東京都,新宿区神楽坂,4-6,,https://captcha.gnavi.co.jp?destination=gahg104.gorp.jp/,TRUE
ル・クロ・モンマルトル,050-5488-1892,,東京都,新宿区神楽坂,2-12,,https://captcha.gnavi.co.jp?destination=ge99100.gorp.jp/,TRUE
魚卵ハウス Eni ‐エニ‐ 飯田橋,050-5492-9221,,東京都,千代田区飯田橋,2-9-5,,https://captcha.gnavi.co.jp?destination=gcj4205.gorp.jp/,TRUE
夏目亭,050-5488-1462,,東京都,新宿区神楽坂,3-2,,https://captcha.gnavi.co.jp?destination=ggp7300.gorp.jp/,TRUE
魚イタリアン 神楽坂 y cucina,050-5487-1754,,東京都,新宿区神楽坂,5-37-10,,https://captcha.gnavi.co.jp?destination=gdk2802.gorp.jp/,TRUE
トリノ,050-5486-3861,,東京都,新宿区揚場町,1-3,,https://captcha.gnavi.co.jp?destination=g509700.gorp.jp/,TRUE
ロイヤルガーデンカフェ（Royal Garden Café） 飯田橋,050-5484-6290,,東京都,千代田区富士見,2-10-2,,https://captcha.gnavi.co.jp?destination=gehp000.gorp.jp/,TRUE
ＣＡＮＡＬ ＣＡＦＥ,050-5486-4515,,東京都,新宿区神楽坂,1-9,,https://captcha.gnavi.co.jp?destination=a994900.gorp.jp/,TRUE
Nico Chelsea（ニコチェルシー）,050-5493-1293,,東京都,新宿区津久戸町,3-6,,https://captcha.gnavi.co.jp?destination=ghu6301.gorp.jp/,TRUE
ニクバル クオン,050-5484-5849,,東京都,新宿区下宮比町,1-1,,https://captcha.gnavi.co.jp?destination=ghyh700.gorp.jp/,TRUE
Aju trattorìa 飯田橋,050-5492-9199,,東京都,新宿区揚場町,1-11,,https://captcha.gnavi.co.jp?destination=gjpu800.gorp.jp/,TRUE
夜景の見えるオイスター＆バーCierpo 神楽坂,050-5485-6732,,東京都,新宿区神楽坂,5-1,,https://captcha.gnavi.co.jp?destination=b274902.gorp.jp/,TRUE
神楽坂 スタジオーネ,03-6457-5330,,東京都,新宿区神楽坂,3-1,,https://captcha.gnavi.co.jp?destination=b753701.gorp.jp/,TRUE
アルベラータ,050-5493-1992,,東京都,新宿区神楽坂,3-6,,https://captcha.gnavi.co.jp?destination=alberata.gorp.jp/,TRUE
Buon Cuore 飯田橋,050-5485-7257,,東京都,千代田区飯田橋,4-7-8,,https://captcha.gnavi.co.jp?destination=g211602.gorp.jp/,TRUE
パリ・マルシェ,050-5484-0606,,東京都,新宿区神楽坂,3-6-78,,https://captcha.gnavi.co.jp?destination=ghxj100.gorp.jp/,TRUE
ルブルターニュ バー ア シードルレストラン,050-5485-4531,,東京都,新宿区神楽坂,3-3-6,,https://captcha.gnavi.co.jp?destination=ge0m403.gorp.jp/,TRUE
神楽坂 窯焼きビストロflamme‐flamme（フラムフラム）,050-5487-2538,,東京都,新宿区神楽坂,3-2-15,,https://captcha.gnavi.co.jp?destination=gfp5803.gorp.jp/,TRUE
ル グドゥノム ブション リヨネ,050-5487-3324,,東京都,新宿区神楽坂,4-3-7,,https://captcha.gnavi.co.jp?destination=gdz7300.gorp.jp/,TRUE
Sacree Fleur サクレ フルール 神楽坂,050-5492-5060,,東京都,新宿区神楽坂,3-2,,https://captcha.gnavi.co.jp?destination=a687149.gorp.jp/,TRUE
bisous 神楽坂,050-5487-4431,,東京都,新宿区神楽坂,5-43-2,,https://captcha.gnavi.co.jp?destination=ge2z200.gorp.jp/,TRUE
ルブルターニュ 神楽坂,050-5484-7251,,東京都,新宿区神楽坂,4-2,,https://captcha.gnavi.co.jp?destination=ge0m400.gorp.jp/,TRUE
トーキョーサワースタンド,050-5487-7671,,東京都,新宿区神楽坂,3-1-26,,https://captcha.gnavi.co.jp?destination=ga88502.gorp.jp/,TRUE
ROBERTO,050-5485-3311,,東京都,千代田区飯田橋,4-2-5,,https://captcha.gnavi.co.jp?destination=ge2u200.gorp.jp/,TRUE
リストランテ ラストリカート,050-5486-7182,,東京都,新宿区神楽坂,4-6,,https://captcha.gnavi.co.jp?destination=gahg103.gorp.jp/,TRUE
フレンチレストラン 神楽坂ラリアンス L’Alliance,050-5493-2148,,東京都,新宿区神楽坂,2-11,,https://captcha.gnavi.co.jp?destination=g568700.gorp.jp/,TRUE
坂の上レストラン,050-5486-5326,,東京都,新宿区神楽坂,3-1,,https://captcha.gnavi.co.jp?destination=info-sakanoue-restaurant.gorp.jp/,TRUE
